z_mm,Kf,sam_mpasm_dB,sam_fft_dB,sam_blas_dB
500.0,1.0,35.441665508661174,40.45727555299183,40.7645504607744
641.784421056258,1.0,34.8852079596609,39.037204195982376,39.21689009604692
823.7744862210327,1.031478250687465,34.87683533376845,37.22549076753671,37.523648152664364
1057.371263440564,1.1685467003794119,34.236448926488215,35.956395985597794,36.189564396433774
1357.208808297453,1.3238454350400533,34.26391521558225,34.43079795772888,34.656167559170605
1742.07093857127,1.4997972408368596,32.739474879276514,33.57039481687644,33.84044106771532
2000.0,1.6069712976492312,33.13883388374816,32.08765290101289,32.8600037809652
2236.0679774997893,1.699147108967137,32.98304816331536,32.04950694730472,32.045640274343604
2870.147184764281,1.9250050596788233,32.80052000512947,30.616406674936485,30.56465873726107
3684.0314986403864,2.180894661068073,31.575490979036125,28.35876826431395,28.750032509658475
4728.708045015879,2.4708079995784766,32.92640109145205,23.6627599801728,23.89470986345156
6000.0,2.7831680673612595,31.35985141433671,17.83713890681378,17.55994506489089
6069.622310029172,2.799267959781037,31.46815699504065,17.53503714950725,17.30042867391153
7790.778080544441,3.171398785046526,35.46141374503208,11.687178968138527,9.970029089890314
10000.0,3.593006019911684,31.10539304485348,7.148291515903221,3.292151644397823
12000.0,3.935927609199278,31.289621037611614,4.773124684704834,3.1195704791438974
12835.688421125164,4.070667081303617,31.63390578557607,4.199541096194167,3.1553858727429853
16475.48972442066,4.611833871606203,34.083649854421026,2.1289723758952097,3.431225029546777
21147.425268811283,5.224949034415208,44.5026064547985,1.0044308266298612,6.6917655238571205
27144.176165949066,5.919577666666232,37.59714764230297,2.1173077124073636,8.64027363680595
30000.0,6.223184966483305,36.8746479427073,1.1742226448962458,9.450815674341019
34841.41877142541,6.706556541951748,36.640626846650996,-0.9057017818255719,10.684269312360557
44721.359549995796,7.59816317303252,37.340118502525776,-0.850857364755351,12.781167080173647
57402.94369528563,8.60830735105634,38.70921345823261,1.456590125531929,14.907779489080312
73680.62997280774,9.752748149652147,40.41877105744981,-0.6224464381406578,17.05142587157383
80000.0,10.16237562346316,41.028228845296574,-1.8473137367766688,17.76043350784938
94574.16090031758,11.049339779340348,42.31805948566084,2.76873757641722,19.205028777613624
121392.44620058346,12.518310127788835,44.32577986853323,-1.6002014149745534,21.36453279302453
155815.56161088884,14.18257633136987,46.40404301275197,-1.5310307002254218,23.527554130432744
200000.0,16.068102301191768,48.50584932178981,-1.7219362268407234,25.69269637609789
