metodo,N,s,cpu_128,cpu_64,gpu_128,gpu_64,gpu_64_tr,x,x_iso,frac_transf,rms_gpu_cpu
mpasm,512,1,0.093874,0.081838,0.041773,0.003882,0.003801,24.2,21.1,-0.021,1.4590181439684332e-07
mpasm,512,2,0.254561,0.197741,0.121778,0.007325,0.007724,34.8,27.0,0.052,1.8453877053104166e-07
mpasm,512,4,0.724921,0.561308,0.395513,0.021074,0.021707,34.4,26.6,0.029,3.178774619203443e-07
mpasm,512,8,2.700116,1.965067,1.422654,0.071749,0.071594,37.6,27.4,-0.002,3.430873348088031e-07
